Tram B,,,,,,,,,,,,,,,,,,,,,,,
Tous Sens,,,,,,,,,,,,,,,,,,,,,,,
Total journée,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Matrice montée / descente,PLAINE DES SPORTS,GIERES GARE - UNIVERSITES (TRAM),MAYENCIN - CHAMP ROMAN,CONDILLAC - UNIVERSITES,BIBLIOTHEQUES UNIVERSITAIRES,GABRIEL FAURE,LES TAILLEES - UNIVERSITES,GRAND SABLON,MICHALLON,LA TRONCHE HOPITAL,ILE VERTE,NOTRE-DAME - MUSEE,SAINTE-CLAIRE - LES HALLES,HUBERT DUBEDOUT - MAISON DU TOURISME,VICTOR HUGO,ALSACE-LORRAINE,GARES,SAINT-BRUNO (TRAM),PALAIS DE JUSTICE,CITE INTERNATIONALE,CEA - CAMBRIDGE,PRESQU'ILE,Total
PLAINE DES SPORTS,,18,8,31,92,14,21,5,14,14,10,35,18,51,52,38,25,12,13,10,1,14,498
GIERES GARE - UNIVERSITES (TRAM),32,,25,242,479,184,105,135,142,109,84,68,45,123,115,97,76,27,8,14,18,33,2160
MAYENCIN - CHAMP ROMAN,53,34,,17,99,37,8,1,11,12,11,18,9,40,36,51,45,12,11,,12,,518
CONDILLAC - UNIVERSITES,121,406,43,,94,151,203,97,127,44,61,145,135,155,323,270,149,166,50,21,41,34,2836
BIBLIOTHEQUES UNIVERSITAIRES,58,567,69,193,,72,307,177,138,174,198,298,184,472,782,654,442,372,88,59,50,47,5402
GABRIEL FAURE,46,248,63,178,149,,75,162,132,66,190,141,186,359,349,498,301,271,133,87,79,52,3767
LES TAILLEES - UNIVERSITES,32,194,13,558,645,119,,179,355,138,75,295,206,242,353,326,350,194,58,102,111,98,4644
GRAND SABLON,15,176,28,184,488,154,259,,10,43,52,124,170,337,317,323,237,125,65,60,51,100,3318
MICHALLON,36,145,27,117,177,121,191,29,,62,152,196,124,548,289,463,404,158,169,10,21,32,3470
LA TRONCHE HOPITAL,35,148,44,94,290,135,194,73,7,,11,110,67,348,237,376,171,177,99,21,33,41,2711
ILE VERTE,43,102,20,170,423,145,159,150,52,31,,81,130,393,277,544,273,374,170,46,29,192,3804
NOTRE-DAME - MUSEE,49,171,6,227,682,196,452,141,166,103,59,,10,388,232,517,526,329,151,161,77,135,4778
SAINTE-CLAIRE - LES HALLES,86,89,35,122,404,207,265,131,85,259,157,59,,105,106,287,181,176,145,122,62,190,3273
HUBERT DUBEDOUT - MAISON DU TOURISME,138,148,16,269,826,280,398,331,564,347,541,393,58,,89,435,220,271,307,350,275,279,6537
VICTOR HUGO,66,139,56,241,671,284,311,257,307,217,236,167,144,62,,300,427,400,484,278,311,529,5889
ALSACE-LORRAINE,229,104,19,464,1097,425,378,237,390,316,198,388,271,396,205,,193,332,484,492,297,507,7424
GARES,55,72,36,228,569,231,318,117,212,170,156,164,75,168,230,198,,117,105,179,324,324,4046
SAINT-BRUNO (TRAM),67,19,36,223,792,277,135,141,260,135,123,262,72,175,291,295,87,,170,376,466,443,4846
PALAIS DE JUSTICE,24,35,18,63,211,109,69,52,59,62,82,105,135,214,395,361,54,238,,73,353,522,3236
CITE INTERNATIONALE,19,65,,38,141,100,95,46,20,52,43,98,73,347,317,395,113,306,31,,203,334,2837
CEA - CAMBRIDGE,,15,11,62,129,63,99,36,13,42,33,51,16,168,268,177,192,191,213,72,,121,1971
PRESQU'ILE,19,6,5,30,55,37,39,42,31,44,31,50,51,160,210,272,204,233,330,292,29,,2172
Total,1223,2901,579,3751,8514,3343,4080,2540,3094,2439,2506,3249,2181,5251,5471,6878,4673,4482,3285,2826,2844,4026,80136
